account_id,account_name,sector,year_established,revenue_usd_m,employees,office_location,subsidiary_of_account_id,annual_contract_value,account_tier,account_status,created_date
1,Cancity,Technology,1988,8406.01,,United Kingdom,26,2037.89,Platinum,Active,24-06-2024
2,Isdom,Finance,1986,5269.38,2868.53,Sweden,,990.21,,At-Risk,22-03-2020
3,Codehow,Healthcare,2003,13785.6,45583.27,Canada,,1212.36,Silver,At-Risk,28-01-2022
4,Hatfan,Medical,2000,6281.6,8988.23,France,,1240.62,Silver,Active,03-08-2018
5,Ron-tech,Healthcare,2018,13169.44,710.31,Sweden,,496.27,Gold,Churned,10-09-2021
6,Zumgoity,Energy,1990,10734.79,19928.47,India,,383.74,Bronze,At-Risk,29-08-2025
7,Cheers,Finance,2007,15012.28,50429.97,UAE,,,Bronze,NULL,27-04-2016
8,Bioholding,Technology,1995,3672.46,35888.94,Brazil,56,430.41,Bronze,Active,14-06-2017
9,Betatech,Retail,1991,3673.6,36949.08,France,,953.1,Silver,Active,12-12-2020
10,Betasoloin,Real Estate,2015,12721.45,3862.9,Japan,,3333.55,Enterprise,Churned,21-01-2024
11,Konex,Logistics,2019,1707.55,17685.29,Australia,,291.37,Bronze,Active,12-12-2020
12,Faseho,Education,2003,1877.3,44014.22,France,,86.16,Enterprise,Active,02-12-2020
13,Kan-code,Manufacturing,1985,,22343.66,Germany,,1484.72,Silver,Churned,09-12-2015
14,Hottechi,Technology,1995,5151.35,43451.21,Australia,,,Gold,Prospect,25-12-2020
15,Singletechno,Media,2010,2256.33,15302.03,Kenya,,211.38, Enterprise,Active,14-12-2020
16,Plussunin,Logistics,2000,653.41,12878.3,United States,,149.95,Platinum,Active,17-10-2017
17,Groovestreet,Manufacturing,2000,10541.39,26453.68,Singapore,,1150.49,Enterprise,Inactive,22-10-2018
18,Mymplace,Manufacturing,2001,9323.9,12107.13,Brazil,,2812.3,Platinum,Prospect,23-05-2017
19,Sumace,Retail,2013,10351.93,8977.42,France,,2194.84,Enterprise,At-Risk,18-07-2020
